楼盘名称,类型,行政区,街道,具体位置,房型,面积,总价,均价
丽都壹号,住宅,朝阳,酒仙桥,"将台路与驼房营路交叉口向北150米, 将府家园北里",4,124,1674,78000
北辰墅院1900,住宅,顺义,马坡,顺兴街11号院望尊园,,109,350,32000
大兴新天地,商业,大兴,南中轴机场商务区,南六环孙村出口南行1200米（南中轴路西侧）,,,200,50000
燕西华府,低密住宅,丰台,丰台其它,"王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）",4,600,1800,47000
京西悦府,住宅,房山,阎村,燕房线阎村地铁站东南角约189米,3,116,410,33000
福景苑,住宅,朝阳,燕莎,亮马桥路46号,2,206,1700,83000
合景寰汇公馆,住宅,通州,武夷花园,北京市通州区滨河中路西侧（合景寰汇公馆）,2,120,280,35000
FCC中央城,商业,房山,长阳,长阳地铁站北侧50米,,,384,48000
K2十里春风,住宅,通州,通州其它,北京市通州区,2,85,140,17500
K2十里春风,低密住宅,通州,通州其它,北京市通州区,3,156,410,26500
房山超级蜂巢,商业,房山,良乡,苏庄地铁站往南700米超级蜂巢售楼处,,,200,30000
玺萌壹號院,低密住宅,丰台,草桥,西南三环嘉园路与镇国寺北街交叉口,6,392,3650,90000
金隅上城郡,低密住宅,昌平,北七家,北亚花园东路50米,4,308,920,40000
万科弗农小镇,低密住宅,密云,溪翁庄镇,北京市密云区密云水库南行1公里,4,172,350,25000
顺鑫颐和天璟,住宅,顺义,顺义其它,北京市顺义区牛栏山镇牛富路顺鑫颐和天璟禧润售楼中心,4,165,370,27000
顺鑫颐和天璟,低密住宅,顺义,顺义其它,新城右堤路与昌金路交汇处向北200米,4,382,900,28000
北京城建北京合院,住宅,顺义,顺义其它,燕京街与通顺路交汇口东800米(仁和公园南)),4,125,540,46000
北京城建北京合院,低密住宅,顺义,顺义其它,燕京街与通顺路交汇口东800米(仁和公园南)),4,270,730,34000
紫金印象,住宅,西城,右安门内,北京市西城区右安门内大街28号1-1-101号,3,146,1650,139800
天润福熙大道,住宅,朝阳,北苑,"清河营东路1号院, 清河营东路3号院",3,248,1110,108000
元熙华府,住宅,丰台,宋家庄,东南三环东铁营桥向南600米,3,136,1113,87000
京贸国际公馆,住宅,通州,九棵树(家乐福),怡乐中路299号院（广渠快速路二期出口向南1000米）,2,110,495,64000
凯德麓语,低密住宅,昌平,昌平其它,兴寿镇京承高速G11出口向西怀昌路北侧,4,572,750,26000
京贸国际城·峰景,住宅,通州,武夷花园,芙蓉东路1号（通燕高速耿庄桥北出口向南300米）,2,104,460,68000
观唐云鼎,低密住宅,密云,溪翁庄镇,溪翁庄镇密溪路39号院（云佛山度假村对面）,4,480,1068,30000
檀香府,住宅,门头沟,门头沟其它,京潭大街与潭柘十街交叉口,4,147,530,42000
和棠瑞著,低密住宅,平谷,平谷其它,金海湖景区坝前广场西侧500米,4,332,530,16000
尊悦光华,住宅,朝阳,CBD,北京市朝阳区光华东里甲1号院3号楼,3,152,1700,150000
华萃西山,住宅,门头沟,门头沟其它,永定镇地铁S1号线石厂西南700米,4,118,488,42000
京西悦府,低密住宅,房山,阎村,北京市房山区燕房线阎村地铁站东南角约189米,4,169,520,38000
中粮天恒天悦壹号,低密住宅,丰台,新宫,南四环地铁新宫站南500米,4,280,2000,80000
京投发展·锦悦府,住宅,密云,鼓楼街道,檀营乡檀东路西侧,3,90,220,25607
京投发展·锦悦府,低密住宅,密云,鼓楼街道,檀营乡檀东路西侧,3,236,400,25000
金辰府,住宅,昌平,北七家,北京市昌平区北七家镇政府东南100米,4,116,410,51000
龙湖熙湖悦著,住宅,房山,房山其它,大苑村收费站出口（良坨路桥）左行200米,4,209,250,23000
建邦·顺颐府,住宅,顺义,后沙峪,空港B区裕民大街30号千里马国际一层建邦·顺颐府售楼中心,4,118,480,55583
葛洲坝中国府,住宅,丰台,玉泉营,北京市丰台东路46号,4,204,2200,125000
华萃西山,低密住宅,门头沟,门头沟其它,门头沟永定镇地铁S1号线石厂站西南700米,4,190,650,48000
北京东湾,住宅,通州,万达,通惠北路98号,2,94,410,68500
中铁诺德阅墅,低密住宅,顺义,中央别墅区,顺义区后沙峪镇裕园路762乡龙湖滟澜山对面,4,278,1150,50000
懋源·璟岳,低密住宅,丰台,玉泉营,南三环西路99号院,4,445,6500,140000
合景泰富天汇,住宅,顺义,马坡,顺义区昌金路与通顺路交汇处,2,94,190,29000
水岸雁栖,住宅,怀柔,怀柔,北京市怀柔区雁栖镇顶秀美泉小镇A区北侧50米,4,110,385,36800
金茂北京国际社区,住宅,顺义,顺义其它,顺义新城北小营昌金路水色时光路西,2,84,130,26000
住总如院,住宅,大兴,大兴新机场洋房别墅区,北京市大兴区采华路(波尔多小镇南区西南侧约250米),2,166,220,31136
郎府书苑,住宅,通州,通州其它,西集镇京哈高速郎府出口南侧300米,3,102,273,22800
建邦·顺颐府,低密住宅,顺义,后沙峪,空港B区裕民大街30号,3,270,1300,55583
和悦春风,住宅,大兴,大兴新机场,北京市大兴区隆延街与甜园路交叉路口往西北约150米,3,92,250,35000
北京城建·府前龙樾,住宅,怀柔,怀柔,北京市怀柔区府前东街,4,136,560,43500
金禧璞瑅,住宅,顺义,顺义其它,高泗路，四村段23号,4,150,550,34000
金禧璞瑅,低密住宅,顺义,顺义其它,高泗路，四村段23号,5,375,1050,21000
中骏云景台,住宅,房山,房山其它,官道西大街与良常路交叉口,3,95,172,28000
禧瑞金海,住宅,平谷,平谷其它,平蓟路与环镇东路交汇,3,98,200,18000
禧瑞金海,低密住宅,平谷,平谷其它,平蓟路与环镇东路交汇,3,162,285,16000
中建国望府,低密住宅,丰台,丰台其它,丰台区鑫博路5号院二区,5,470,2500,50000
北科建·翡翠华府,住宅,怀柔,怀柔,中高路与乐园大街交叉口北150米,4,90,360,36800
保利绿城·和锦诚园,住宅,大兴,瀛海,8号线南段地铁站东1.6公里,4,141,820,65000
金悦郡,住宅,通州,通州其它,亦庄新城环景西一路与景盛南二街交叉口珠江逸景家园南区西侧,4,96,390,46000
北京庄园,低密住宅,顺义,顺义其它,京承高速第11出口往东800米,5,1195,7900,115000
明月听蘭,住宅,通州,通州其它,北京市通州区天庆南街,3,117,800,62000
中海甲叁號院,住宅,丰台,玉泉营,丰台恒丰路,4,172,2100,125000
住总兴创如遇,住宅,大兴,大兴新机场洋房别墅区,采华路与育镇街交叉路口往西北约100米(采育文化广场西南侧约100米),2,84,162,28000
悠唐麒麟公馆,住宅,朝阳,朝阳门外,北京市朝阳三丰北里,2,96,850,120000
中海寰宇视界,住宅,房山,长阳,北京市房山区轨道交通房山线稻田地铁站南侧200米处,2,166,350,50000
国祥府,住宅,密云,鼓楼街道,檀西路与新北路交汇处向北约400米,3,101,200,28000
北京天誉,住宅,丰台,十里河,北京市丰台区小红门路312号,4,185,2200,120000
航城壹号,住宅,大兴,大兴新机场,大广高速瓜乡桥西北300米航城壹号,2,138,320,32000
中建·京西印玥,住宅,房山,良乡,阳光北大街中建·京西印玥,2,90,310,40000
长城璞院,低密住宅,怀柔,怀柔其它,距离怀柔区黄花城水长城东侧1.5公里,5,215,521,20000
玖瀛府,低密住宅,昌平,南邵,南金路7号院,4,257,728,45000
国誉万和城,住宅,丰台,青塔,西四环14号线大瓦窑站北300m,4,170,1250,82000
葛洲坝中国府,低密住宅,丰台,玉泉营,丰台东路46号,4,470,3500,125000
首开富力·十號国际,写字楼,顺义,顺义其它,高白路首开富力·十號国际,1,594,1400,17500
公园都会,住宅,顺义,顺义其它,北京顺义区顺泰路与外环路交汇处,4,100,470,39000
西山相府,住宅,门头沟,城子,城子大街13号,3,134,720,52000
金地璟宸,住宅,房山,良乡,北京市房山区政通路29号,4,123,413,41800
长安悦玺,住宅,石景山,鲁谷,衙门口南路长安悦玺,4,135,770,79500
天资陸号院,住宅,房山,长阳,昊天北大街天资陸号院,4,192,213,23500
春和景明,住宅,通州,潞苑,潞苑中路和京榆旧线交汇处东南春和景明,4,190,1758,73000
中建·长安麓府,住宅,门头沟,冯村,泰安路中建·长安麓府,4,104,650,56000
